resampling_technique;hyperparameters;accuracy;precision;recall;f1-score
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};96.19%;93.59%;99.17%;96.30%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};95.33%;93.03%;97.99%;95.45%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.63%;91.02%;99.03%;94.86%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.60%;93.81%;97.65%;95.69%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};95.95%;93.28%;99.03%;96.07%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.12%;91.47%;99.52%;95.32%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.78%;92.65%;99.45%;95.93%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.50%;92.50%;99.03%;95.65%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};94.81%;90.64%;99.93%;95.06%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};94.43%;90.27%;99.58%;94.70%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};94.70%;90.47%;99.93%;94.97%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.57%;92.07%;99.72%;95.74%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.88%;93.33%;98.82%;96.00%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};94.43%;90.22%;99.65%;94.70%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};94.60%;91.18%;98.75%;94.81%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.12%;91.74%;99.17%;95.31%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.08%;91.52%;99.38%;95.29%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};94.91%;91.33%;99.24%;95.12%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};95.60%;92.90%;98.75%;95.74%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};93.11%;88.64%;98.89%;93.49%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.02%;91.51%;99.24%;95.22%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};94.77%;91.00%;99.38%;95.00%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};95.81%;92.76%;99.38%;95.95%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};93.35%;88.50%;99.65%;93.75%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};93.25%;88.67%;99.17%;93.63%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};94.18%;90.08%;99.31%;94.47%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};95.88%;93.61%;98.48%;95.98%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};94.88%;90.96%;99.65%;95.11%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};95.29%;91.55%;99.79%;95.49%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.81%;92.98%;99.10%;95.94%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};93.49%;90.57%;97.09%;93.72%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};95.02%;92.10%;98.48%;95.18%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.95%;92.67%;99.79%;96.10%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.33%;92.09%;99.17%;95.50%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.60%;92.95%;98.68%;95.73%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};93.98%;90.86%;97.78%;94.20%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};94.50%;91.75%;97.78%;94.67%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};95.60%;92.84%;98.82%;95.74%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.60%;90.35%;99.86%;94.87%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.64%;92.41%;99.45%;95.80%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};94.67%;91.72%;98.20%;94.85%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};94.36%;91.03%;98.41%;94.58%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.71%;92.53%;99.45%;95.86%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.64%;92.19%;99.72%;95.81%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};96.16%;93.48%;99.24%;96.27%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};95.78%;93.26%;98.68%;95.90%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};96.05%;93.29%;99.24%;96.17%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.88%;91.97%;98.34%;95.05%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};96.30%;93.38%;99.65%;96.42%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};96.92%;94.19%;100.00%;97.01%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.50%;92.61%;98.89%;95.65%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};94.95%;92.09%;98.34%;95.11%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.88%;92.77%;99.52%;96.02%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};94.39%;91.30%;98.13%;94.59%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};96.54%;94.04%;99.38%;96.63%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};96.26%;93.10%;99.93%;96.39%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};96.30%;93.21%;99.86%;96.42%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.57%;91.91%;99.93%;95.75%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};94.81%;91.90%;98.27%;94.98%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.47%;92.99%;98.34%;95.59%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};96.40%;94.08%;99.03%;96.49%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.22%;92.57%;98.34%;95.37%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};95.02%;91.14%;99.72%;95.24%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};94.60%;91.12%;98.82%;94.82%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};92.25%;88.08%;97.71%;92.65%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};96.40%;93.62%;99.58%;96.51%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};94.63%;90.97%;99.10%;94.86%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};96.16%;93.36%;99.38%;96.28%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.50%;91.79%;99.93%;95.69%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.26%;91.86%;99.31%;95.44%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};93.84%;89.66%;99.10%;94.14%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};95.08%;91.62%;99.24%;95.28%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};95.74%;92.70%;99.31%;95.89%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};95.81%;92.93%;99.17%;95.95%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.46%;91.15%;98.48%;94.67%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};96.12%;93.64%;98.96%;96.23%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};96.37%;93.90%;99.17%;96.46%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.60%;93.75%;97.71%;95.69%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.33%;91.93%;99.38%;95.51%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.74%;92.70%;99.31%;95.89%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};94.81%;90.79%;99.72%;95.05%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};96.16%;92.92%;99.93%;96.30%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};93.87%;89.47%;99.45%;94.19%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.43%;91.94%;99.58%;95.61%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};96.19%;93.42%;99.38%;96.31%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};92.63%;88.16%;98.48%;93.03%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.81%;92.43%;99.79%;95.97%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};96.33%;93.27%;99.86%;96.45%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};96.85%;94.07%;100.00%;96.95%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};94.39%;91.62%;97.71%;94.57%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};95.95%;94.50%;97.58%;96.01%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};96.12%;93.59%;99.03%;96.23%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.33%;92.20%;99.03%;95.49%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.74%;92.75%;99.24%;95.88%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};96.16%;94.05%;98.55%;96.25%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};97.13%;94.80%;99.72%;97.20%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};96.02%;92.95%;99.58%;96.16%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};94.32%;90.92%;98.48%;94.55%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};96.50%;94.03%;99.31%;96.60%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};94.77%;92.06%;97.99%;94.93%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};95.78%;92.59%;99.52%;95.93%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.85%;92.49%;99.79%;96.00%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};96.12%;93.53%;99.10%;96.23%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};96.82%;94.24%;99.72%;96.90%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};96.37%;94.37%;98.61%;96.44%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};96.37%;94.66%;98.27%;96.43%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.85%;92.54%;99.72%;96.00%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};94.36%;89.96%;99.86%;94.65%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};96.26%;93.66%;99.24%;96.37%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};96.26%;93.32%;99.65%;96.38%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.95%;92.72%;99.72%;96.10%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.67%;92.36%;99.58%;95.83%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};96.05%;92.85%;99.79%;96.19%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};96.78%;94.12%;99.79%;96.87%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};96.16%;93.25%;99.52%;96.28%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};96.47%;93.46%;99.93%;96.59%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};94.91%;90.97%;99.72%;95.14%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};95.71%;92.64%;99.31%;95.86%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};95.43%;92.99%;98.27%;95.56%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.63%;90.97%;99.10%;94.86%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};94.95%;91.76%;98.75%;95.13%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};96.30%;93.16%;99.93%;96.42%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};94.67%;91.19%;98.89%;94.88%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};96.23%;93.60%;99.24%;96.34%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};96.26%;93.10%;99.93%;96.39%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};93.70%;90.19%;98.06%;93.96%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};95.29%;91.92%;99.31%;95.47%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};94.70%;90.83%;99.45%;94.94%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.43%;90.42%;99.38%;94.69%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};96.30%;94.01%;98.89%;96.39%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};96.12%;93.70%;98.89%;96.23%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};96.57%;93.64%;99.93%;96.68%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};94.63%;92.21%;97.51%;94.78%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.47%;92.00%;99.58%;95.64%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};95.43%;91.89%;99.65%;95.61%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};94.08%;89.66%;99.65%;94.39%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};93.67%;89.88%;98.41%;93.95%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.53%;92.17%;99.52%;95.70%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.60%;92.40%;99.38%;95.76%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};93.84%;89.96%;98.68%;94.12%
