resampling_technique;hyperparameters;accuracy;precision;recall;f1-score
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};93.35%;89.72%;97.92%;93.64%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.71%;92.15%;99.93%;95.88%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.64%;92.08%;99.86%;95.81%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};96.43%;93.57%;99.72%;96.55%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};94.01%;90.76%;97.99%;94.24%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};96.26%;93.32%;99.65%;96.38%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};93.91%;90.28%;98.41%;94.17%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};96.02%;93.01%;99.52%;96.15%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};95.53%;92.78%;98.75%;95.67%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};95.57%;92.07%;99.72%;95.74%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.91%;91.17%;99.45%;95.13%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};93.22%;89.69%;97.65%;93.50%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};95.53%;93.69%;97.65%;95.63%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.88%;92.50%;99.86%;96.04%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.98%;93.63%;98.68%;96.09%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.85%;92.60%;99.65%;96.00%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};95.60%;92.24%;99.58%;95.77%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};96.40%;93.62%;99.58%;96.51%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};96.30%;93.16%;99.93%;96.42%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};96.09%;93.02%;99.65%;96.22%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.15%;92.67%;98.06%;95.29%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};95.98%;93.34%;99.03%;96.10%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};96.26%;93.38%;99.58%;96.38%
